[2025-01-24 00:08:50,177 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=201, shift=preds_0
[2025-01-24 00:08:50,640 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=202, shift=preds_0
[2025-01-24 00:08:51,118 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=203, shift=preds_0
[2025-01-24 00:08:51,601 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=204, shift=preds_0
[2025-01-24 00:08:52,083 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=205, shift=preds_0
[2025-01-24 00:08:52,589 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=206, shift=preds_0
[2025-01-24 00:08:55,114 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=207, shift=preds_0
[2025-01-24 00:08:55,518 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=208, shift=preds_0
[2025-01-24 00:08:55,977 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=209, shift=preds_0
[2025-01-24 00:08:56,445 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=210, shift=preds_0
[2025-01-24 00:08:56,904 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=211, shift=preds_0
[2025-01-24 00:08:57,362 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=212, shift=preds_0
[2025-01-24 00:08:57,823 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=213, shift=preds_0
[2025-01-24 00:08:58,289 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=214, shift=preds_0
[2025-01-24 00:08:58,755 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=215, shift=preds_0
[2025-01-24 00:08:59,245 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=216, shift=preds_0
[2025-01-24 00:08:59,718 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=217, shift=preds_0
[2025-01-24 00:09:00,196 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=218, shift=preds_0
[2025-01-24 00:09:00,650 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=219, shift=preds_0
